Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.139931,0.018665939,6.670447950363555e-05,-0.055248243,-0.803686713,0.0068,0.011,0.0137,0.0167,0.0188,0.0215,0.0238,0.0262,0.0296,0.0388,,0.3662752835151703,0.40162909282617776,0.6722021432929727,0.04624273624593017,0.1413545786436639,0.08179463086641564,0.09024508393479264,0.08074649984134491,0.11011380270176584,0.9134991786913097,0.8661418415939854,0.8672581875110738,0.05423744426697894,0.09072625968071998,0.05738163254151401
0.127881,0.0178459,5.715763871712479e-05,-0.090465336,-0.867463825,0.0076,0.011,0.0132,0.0159,0.0179,0.0205,0.0227,0.025,0.028,0.0336,,0.398970188767808,0.4671493296303099,0.5048879058861002,0.04010901719051232,0.1275571476403542,0.08241849329665456,0.09502720379261342,0.09389056109546777,0.09818597924167426,0.8875803503284698,0.8279068033718819,0.8279611204128322,0.07646763498942726,0.07805560519039244,0.09791823068748949
0.127885,0.01755685,5.3337911940268046e-05,0.022089601,-0.715261194,0.008,0.0103,0.0134,0.0155,0.018,0.0197,0.0222,0.0241,0.0272,0.0355,,0.3939531208804597,0.46643997428662715,0.8997522208129768,0.037691406213536914,0.13267518225050487,0.06565295637612359,0.08659976390294115,0.091897172434179,0.13042693543995706,0.886735562641893,0.8173799453902276,0.9904038279913486,0.07155581049717791,0.07078242888758067,0.06975880511942198
0.129017,0.018781449,6.825599397859426e-05,0.061764908,-0.787343027,0.007,0.011,0.0136,0.0165,0.0186,0.0211,0.0238,0.0264,0.0302,0.039,,0.40008338642918323,0.41088729205776897,0.5716744386116661,0.04297818946215625,0.1448757181997395,0.08440957520087103,0.08501177482916869,0.1035953865858343,0.11394308034839022,0.9042423463516006,0.9558662636682996,0.8663483112320594,0.05298792442098384,0.07563237747687859,0.084575099174584
0.140827,0.019084762,7.672575776438358e-05,0.1653992712467727,-0.441007712,0.0072,0.0105,0.0139,0.0169,0.019,0.0214,0.0238,0.0269,0.0303,0.0437,,0.3668893076214779,0.4276407829626412,0.6462009655265994,0.04211139810588901,0.12775291098349897,0.07176649286921895,0.10070957504933953,0.10732335195970295,0.12899024154852762,0.9590129896243699,0.8712632749590173,0.8845431422051953,0.07539599049316455,0.08952773987132398,0.0800022960691482
0.127094,0.016738012,5.708420177123501e-05,0.033766094,-0.789910485,0.0056,0.0094,0.0122,0.0144,0.0167,0.0188,0.0212,0.0238,0.027,0.0339,,0.40100355167528723,0.46324667453343255,0.8614159006218052,0.03759412031028478,0.12267478566353497,0.05353890383951575,0.0917009496567949,0.11866157201040835,0.11513194009740392,0.9482471741968169,0.9091140617705773,0.9036402239025579,0.052444347778905345,0.08866489059090978,0.08641179386963829
0.128723,0.016907386,5.225328941878986e-05,0.026964042,-0.854941315,0.0074,0.0104,0.0122,0.0148,0.0167,0.0189,0.0213,0.0235,0.0269,0.0329,,0.3709258681269684,0.45979602615836374,0.7762896419838476,0.04748977715237102,0.12158988355844068,0.07348395105598876,0.07028910621351012,0.0871599086173078,0.12001088639354877,0.908229042878368,0.8929541432383836,0.9072370769912715,0.07047851498370238,0.08412697325608007,0.09811633602511695
0.132728,0.017599931,5.534135103964096e-05,-0.021859309,-0.805519281,0.0069,0.0104,0.0127,0.0155,0.0176,0.0202,0.0221,0.0248,0.0274,0.0372,,0.3774901984952233,0.4903627515801258,0.7918461471839902,0.038003990816796514,0.12776020633463483,0.07940379133974956,0.09216514626442628,0.11610666657268677,0.12657226986681216,0.996832226365392,0.9173741209867393,0.9638338937737749,0.06463752192986456,0.06794211585231855,0.0669309413232929
0.132362,0.017601192,5.2073345348224174e-05,0.068666063,-0.7413354,0.0075,0.0107,0.0128,0.0154,0.0174,0.0199,0.0217,0.0244,0.0275,0.037,,0.41434999193148475,0.462550225415544,0.5514577171262903,0.0394204754551771,0.1406694526461517,0.07741762464280819,0.09038860454192105,0.08406240805954096,0.09641082613690008,0.8745574461274538,0.8066327101569305,0.9034147983807167,0.06872186896970187,0.08337326726127006,0.08550790665414766
0.170061,0.023301847,7.942015236210256e-05,-0.055741661,-0.817664502,0.0106,0.0151,0.0179,0.0204,0.0235,0.0262,0.0288,0.0317,0.0355,0.0432,,0.3597799017319385,0.40467126184047,0.7951823424695299,0.04627412237475483,0.1484382454759051,0.07508533267226304,0.08653236355164855,0.08251843383561677,0.1258622529445603,0.9439930122043045,0.9917280426106334,0.937992703426751,0.0746992365113943,0.09043303107307098,0.07129898494374781
0.174763,0.022749172,9.168074793697264e-05,0.034608355,-0.730714715,0.0096,0.0134,0.0176,0.0201,0.0226,0.0254,0.0282,0.0317,0.0355,0.0449,,0.39078478669830863,0.47185736813816265,0.6472577115165834,0.04142716790371125,0.14387991822026666,0.05902933356137934,0.07164038779500372,0.10436410644026467,0.1031532874045917,0.9755804654514517,0.8256624993970998,0.8105649138064275,0.06595379184310984,0.08448412301278704,0.05812292837634694
0.17024,0.020441971,6.049271563580642e-05,-0.028643739,-0.689553264,0.0103,0.013,0.0159,0.0184,0.0206,0.0228,0.0253,0.0277,0.0305,0.0401,,0.35228251193888904,0.4541687754664864,0.6957839133923706,0.03813086007006183,0.1171972215099549,0.05741244153186923,0.08288404016400645,0.09266460103982774,0.10141515951946892,0.8231660704823726,0.8408231738463677,0.9649986829988598,0.09206671422292702,0.07827294692710113,0.07540963009414917
0.172509,0.024497277,9.304841647645422e-05,0.1527414694393844,-0.511975802,0.0121,0.0157,0.0187,0.0214,0.0239,0.0268,0.0298,0.033,0.0375,0.0501,,0.3866003696393786,0.45884297682356573,0.7382161709286833,0.04142292284573891,0.14276221488175603,0.05908770946434432,0.1021755814194726,0.09933636174316943,0.13012780391490275,0.8673218886960031,0.8202610729220128,0.9326370873924934,0.08548734946479193,0.06189123800506212,0.09144504459266443
