Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.141594,0.017847388,5.8647107248233355e-05,-0.062343505,-0.790192748,0.0077,0.0102,0.0133,0.0159,0.0181,0.0201,0.0226,0.0249,0.028,0.0351,,0.3656170498967497,0.46503190726687216,0.5071329278013499,0.046665126419545004,0.12777129336389775,0.06426313020980122,0.06743514673786562,0.09761235109318477,0.11653141329021771,0.9635220148729884,0.8472859545056893,0.9209065039419773,0.08707946910373182,0.09575431249084507,0.07291569785699879
0.1323,0.018708469,6.297245803802693e-05,0.091023363,-0.743915266,0.0075,0.0113,0.0133,0.0167,0.0186,0.0206,0.0233,0.0261,0.03,0.0391,,0.39837122618233095,0.44021414799913794,0.795902583795587,0.04778248408280906,0.11272458852585551,0.05092028004067365,0.08141839292457145,0.10225126914336805,0.12892622099807216,0.94971176340132,0.9386529014922591,0.8299540634384661,0.07464889798123267,0.08805975770072144,0.08386464794550709
0.133917,0.018258089,6.037059177597499e-05,-0.012243071,-0.747771432,0.0071,0.0107,0.0134,0.0159,0.0183,0.0207,0.0229,0.0256,0.0282,0.0368,,0.397657622867186,0.4499968566780796,0.866006614842141,0.0395814527552773,0.13806358005200126,0.06180887633165609,0.10075205791532618,0.10794146366653536,0.10446967948066609,0.9496514011345689,0.8316067196253902,0.9084068114815418,0.06605600831480202,0.0598522978933389,0.0634929906133662
0.139003,0.018336359,5.808201336709361e-05,0.00655822,-0.827271887,0.0076,0.0109,0.0135,0.016,0.0182,0.0207,0.0228,0.0257,0.0286,0.0372,,0.3823261882802531,0.4207347109745718,0.6022926200537457,0.04925226523450032,0.12374168942723927,0.0724396838222525,0.08123209833238965,0.08961534630577371,0.12312904339807,0.8529272854183642,0.8595748518793821,0.9232839098071336,0.07403493749861605,0.0634229699302213,0.08528264778450229
0.130921,0.01816942,6.192274688455402e-05,-0.082504651,-0.895177762,0.0077,0.0104,0.0133,0.0159,0.0183,0.0209,0.0232,0.0258,0.0288,0.0348,,0.40401984570887967,0.4051038151627529,0.7458217539370843,0.04478810516048833,0.14347341933365465,0.07535565889994657,0.08500895046859862,0.10151226213713771,0.10515498416711792,0.9834761680866525,0.8400367432934034,0.860054640837659,0.07920477163364292,0.06082901541302502,0.0602659361034787
0.139931,0.018665939,6.670447950363555e-05,-0.055248243,-0.803686713,0.0068,0.011,0.0137,0.0167,0.0188,0.0215,0.0238,0.0262,0.0296,0.0388,,0.3974377026777634,0.4418295404772312,0.8632731960988298,0.049249667087814426,0.1472835998144022,0.059413513732076664,0.10275036450063868,0.10108362814308981,0.12946421753664844,0.9312751546933279,0.8429043458607127,0.8117853161432014,0.06546305658549152,0.09785307415126848,0.0741798811039541
0.127881,0.0178459,5.715763871712479e-05,-0.090465336,-0.867463825,0.0076,0.011,0.0132,0.0159,0.0179,0.0205,0.0227,0.025,0.028,0.0336,,0.3621294553553914,0.4186913894859656,0.7957590448662457,0.04130946546688414,0.142896165074917,0.08383118046701259,0.09750363650953857,0.10088741990552148,0.10773540715045084,0.958531254568235,0.9005046568210227,0.9240088051848973,0.08994769080500009,0.06624382193846058,0.06156281585162334
0.127885,0.01755685,5.3337911940268046e-05,0.022089601,-0.715261194,0.008,0.0103,0.0134,0.0155,0.018,0.0197,0.0222,0.0241,0.0272,0.0355,,0.4189713597837318,0.4644221255447574,0.7356182494906681,0.042628994879438185,0.1319806595637299,0.07193088578287213,0.09503084030983992,0.08180083610435152,0.09913637778664716,0.8755570305784526,0.8563735855179126,0.8627717696355963,0.0891254465424808,0.07334693575830997,0.08469555457272442
0.129017,0.018781449,6.825599397859426e-05,0.061764908,-0.787343027,0.007,0.011,0.0136,0.0165,0.0186,0.0211,0.0238,0.0264,0.0302,0.039,,0.373042256453462,0.46660557869364905,0.9193589165032321,0.04172467737412715,0.13424230557656502,0.06761677975919535,0.08060924427501842,0.0950580883866543,0.10733845162118337,0.920280348100197,0.8875364878815674,0.8474466711845081,0.06386460036338922,0.05947215136641302,0.09330560792398106
0.140827,0.019084762,7.672575776438358e-05,0.1653992712467727,-0.441007712,0.0072,0.0105,0.0139,0.0169,0.019,0.0214,0.0238,0.0269,0.0303,0.0437,,0.38150182999859317,0.42998175657840265,0.5261429328600612,0.04521349740266994,0.140332266279137,0.057240840061921004,0.07127409142167222,0.09994222093194635,0.09741242194281163,0.9430192864591794,0.8108572089572734,0.8258297819782366,0.09423488186731853,0.07715172700701696,0.07956996538150411
