Porosity,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.13171,0.019918737,4.87E-05,-0.18085979,-0.672599675,0.005,0.0111,0.0143,0.0155,0.0183,0.0207,0.0218,0.025,0.0261,0.0288,0.0354,,0.4472,0.4091,0.8458,0.0421,0.1196,0.0579,0.0728,0.0946,0.1129,0.8613,0.8766,0.9722,0.0472,0.049,0.0594
0.227711,0.031189939,0.000211614,0.089601537,-0.850329257,0.005,0.0124,0.0168,0.0223,0.0257,0.0306,0.0356,0.0399,0.0451,0.0511,0.0654,,0.3542,0.4053,0.517,0.046,0.1484,0.0637,0.0984,0.1092,0.115,0.8921,0.8594,0.9709,0.0415,0.0585,0.0281
0.129741,0.022825231,7.53E-05,-0.015825859,-0.733473244,0.005,0.0112,0.015,0.0172,0.0208,0.0223,0.025,0.0272,0.0309,0.0353,0.0424,,0.4398,0.4218,0.8227,0.0476,0.1304,0.0644,0.0849,0.0929,0.1168,0.8508,0.9164,0.9062,0.0574,0.0201,0.0315
0.145145,0.0274707,0.000152689,0.060201538,-0.83662558,0.005,0.0105,0.0146,0.0206,0.0235,0.0269,0.0311,0.0352,0.0387,0.0448,0.0555,,0.3785,0.4669,0.7331,0.0475,0.1263,0.0723,0.0757,0.1015,0.1033,0.9374,0.9226,0.9144,0.0274,0.0368,0.0521
0.160546,0.044296663,0.000853865,0.647243724,-0.874478054,0.005,0.0142,0.0195,0.0243,0.029,0.0357,0.0452,0.0585,0.0781,0.0915,0.104,,0.3582,0.4685,0.8386,0.0474,0.1347,0.0562,0.0754,0.1011,0.1212,0.9021,0.9516,0.9833,0.0251,0.0303,0.0479
0.16718,0.048541286,0.001197816,0.423070766,-1.321169303,0.005,0.0101,0.015,0.0203,0.0258,0.0363,0.0518,0.0746,0.0904,0.1009,0.11,,0.3506,0.4692,0.7068,0.0418,0.1396,0.0496,0.0656,0.1078,0.1174,0.9082,0.9834,0.9527,0.0261,0.0539,0.0289
0.102694,0.016698081,4.51E-05,0.02055756,-0.841633091,0.005,0.0069,0.0105,0.0116,0.0149,0.0161,0.0195,0.0207,0.023,0.026,0.0316,,0.4425,0.4456,0.8169,0.0422,0.127,0.0615,0.0764,0.1017,0.1136,0.829,0.9711,0.8371,0.0403,0.0342,0.0594
0.119425,0.020678762,5.59E-05,-0.155541147,-0.525000014,0.005,0.0102,0.014,0.0158,0.0198,0.0212,0.0228,0.0254,0.0268,0.0306,0.0391,,0.4215,0.4481,0.9089,0.0387,0.1116,0.0488,0.0717,0.0831,0.1021,0.9626,0.9564,0.9382,0.0459,0.0436,0.0284
0.149846,0.026566304,8.47E-05,-0.471883693,-0.328619989,0.005,0.015,0.0193,0.0219,0.0257,0.0268,0.0299,0.0321,0.0355,0.0375,0.045,,0.438,0.4024,0.941,0.0434,0.1407,0.0539,0.07,0.0984,0.1277,0.9512,0.8735,0.9386,0.0235,0.0317,0.0466
0.18213,0.037969283,0.000496575,1.352419196,1.495896476,0.005,0.0174,0.0227,0.0263,0.0296,0.0333,0.037,0.0414,0.0483,0.0735,0.102,,0.3687,0.4398,0.943,0.044,0.1142,0.0534,0.065,0.0853,0.0981,0.8827,0.9522,0.8817,0.0238,0.0254,0.0426
