,Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
Input6,0.0071934096191374,0.09371381308709598,0.03499640925204517,0.05139374400242114,0.07900006161622944,0.06308194978593784,0.10299171476774346,0.10655971423261074,0.10281207923283486,0.09988547617403276,0.10075122943245574,0.09672030879276683,0.08894662523682167,0.08069496267308335,0.023006947834585484,0.11001154770436611,0.09948433896523949,0.0039142438728085776,0.12826899917923934,0.0766112943690686,0.0,0.25446742018190543,0.21887194277101363,0.0922845648725239,0.12215825627127773,0.08238874255525655,0.026592434014798917,0.16604479277751594,0.1489394453415051,0.047357729131442414
Input7,0.023163207438906465,0.11124383696757847,0.030995596503230083,0.06049123849743688,0.057499787330448866,0.09326425922832773,0.11675424792669187,0.11948361808677294,0.12177513296309878,0.12060741331042624,0.11801791033727682,0.1132769996662365,0.10750771046599178,0.09056075349956727,0.00700330939181365,0.1218498668272764,0.13183486516720175,0.029199722987369947,0.12090331527549891,0.06331178497307033,0.25446742018190543,0.0,0.4548701167553095,0.28400453784652263,0.15011382990441943,0.024456584977232528,0.022499056162429726,0.07701682772875891,0.13179600288612903,0.008372183655621953
Input8,0.025320199350965657,0.16853733669525273,0.05193964140427021,0.06402323275237565,0.010110751984397412,0.16738827312942056,0.18444990159868624,0.17927375345986005,0.17943901738600723,0.17585158141679605,0.170879897174918,0.16424325116704228,0.15873628159037625,0.14055432619239372,0.05221555937376082,0.12562371280287662,0.12878122945350817,0.10874582121522026,0.04037279853327039,0.17137252386745983,0.21887194277101363,0.4548701167553095,0.0,0.217012389961458,0.10906129660936316,0.011863016529155113,0.042472358387037175,0.06179698566226989,0.12188468744728105,0.03938997997664498
Input9,0.046615485446278075,0.02753309160622855,0.04138329698954579,0.014782195736105744,0.03409442919402862,0.024239142202382408,0.042293440384019915,0.03814899496169116,0.03689746538924385,0.034389064900195304,0.030977832648874465,0.024580863881104503,0.021972443600330682,0.007568953614215279,0.04561773625485524,0.16303796207596502,0.07051104386715955,0.020398522245481603,0.022188452584193705,0.20550948511798617,0.0922845648725239,0.28400453784652263,0.217012389961458,0.0,0.10769470255657078,0.046404006049932243,0.02677507242309575,0.012008113025378034,0.07559213257445112,0.0268748356095649
Input10,0.04092663378962911,0.013357761588555655,0.011083549537096594,0.05964825420059011,0.07490248483604467,0.03167430980866252,0.020132404601952432,0.013401322941393982,0.016234319022345643,0.011090996162563486,0.013568991511666878,0.011755381737917167,0.011001838162885417,0.005453866357820133,0.027949863408324095,0.018409438194821253,0.06036310654167864,0.0029451700168516455,0.003366489050783787,0.05035308359021462,0.12215825627127773,0.15011382990441943,0.10906129660936316,0.10769470255657078,0.0,0.03480786382266779,0.2098055196175403,0.07783830651420531,0.02893232213969915,0.00706435929137749
Input11,0.09668699386815857,0.08551313188236556,0.07694833778014275,0.04570899614072704,0.01722351082221994,0.06076919782829548,0.07116379752038932,0.07869787391062397,0.08236386576210235,0.0871756878214287,0.0889734909214541,0.09425258751408679,0.0902698693127082,0.0900702991813497,0.05975061679310272,0.008134058895976154,0.10287462193399709,0.04749908586099299,0.02541600484617026,0.13491090272402573,0.08238874255525655,0.024456584977232528,0.011863016529155113,0.046404006049932243,0.03480786382266779,0.0,0.4292148685251874,0.03411281995099236,0.05748328198465123,0.028437988886312507
Input12,0.010247989083382496,0.01314676582959735,0.06571383457656012,0.005030402600171742,0.013203149405908617,0.015618999309691298,0.003765860446698881,0.0036398278271430953,0.010400699639904904,0.0084840983830559,0.020556836767336228,0.01840468768002007,0.024457852628816144,0.032001581886460025,0.037397598725641475,0.051632708093857636,0.02926064207913497,0.04737759933769718,0.08571675430392708,0.026485797022663952,0.026592434014798917,0.022499056162429726,0.042472358387037175,0.02677507242309575,0.2098055196175403,0.4292148685251874,0.0,0.03438719084101283,0.02023906389640875,0.0174292495752661
Input13,0.012989345330874013,0.09684721085157989,0.0280854689243041,0.13462654260069606,0.005994391674581952,0.09465534438397304,0.11078064722703262,0.1063136802373897,0.10349713180661882,0.10021234255622265,0.10216658674945041,0.09520135535886988,0.09127247517594035,0.08028924339590687,0.025224521525193076,0.08788949346172766,0.06150470392582366,0.0891872841015785,0.16952993515803533,0.022432588550758626,0.16604479277751594,0.07701682772875891,0.06179698566226989,0.012008113025378034,0.07783830651420531,0.03411281995099236,0.03438719084101283,0.0,0.39852466130460373,0.2638631613337382
Input14,0.19667804027636854,0.25704936051754806,0.29444624579819195,0.04222644591575228,0.050807134166354025,0.15381220872931267,0.20271941961274534,0.23218006641779776,0.24044338394115064,0.258927735133947,0.2684066646908141,0.2777155088156516,0.28103742233727624,0.28449188552589555,0.24957507988150504,0.07766137777504002,0.18039909585007757,0.08592896936260838,0.15223394293171535,0.03373171349320678,0.1489394453415051,0.13179600288612903,0.12188468744728105,0.07559213257445112,0.02893232213969915,0.05748328198465123,0.02023906389640875,0.39852466130460373,0.0,0.5318031164271143
Input15,0.1555690033816946,0.16738782825850784,0.14559136556279423,0.050249732594382215,0.05040822476406067,0.14687275929890292,0.16003773228734272,0.16307503726596947,0.16612500015200504,0.17214899344881154,0.16792693033429404,0.17065118856393044,0.16918404129064715,0.1668024987205666,0.13784784173687725,0.0880289556508154,0.11773806930408871,0.032238654487288576,0.08235296333656168,0.11028469716533122,0.047357729131442414,0.008372183655621953,0.03938997997664498,0.0268748356095649,0.00706435929137749,0.028437988886312507,0.0174292495752661,0.2638631613337382,0.5318031164271143,0.0
